id,nombre,categoria,riesgo,ciudad
COM-0000,Banca Privada Mármol & Asociados S.Com.,Servicios,8,Lleida
COM-0001,Suministros Hidalgo S.Com.,Viajes,4,Valencia
COM-0002,Olmo y Dueñas S.C.P,Servicios,2,Barcelona
COM-0003,Oriana Camps Espada S.L.,Alimentos,7,Guadalajara
COM-0004,Supermercados Corbacho y asociados S.L.,Alimentos,2,Cádiz
COM-0005,Badía & Asociados S.A.U,Gaming,9,Baleares
COM-0006,Hotel FJ S.L.N.E,Servicios,3,Ourense
COM-0007,Distribuciones Tenorio S.L.,Alimentos,4,Lugo
COM-0008,Comercial Globales S.L.N.E,Electronica,2,Asturias
COM-0009,Pozo & Asociados S.A.,Gaming,9,Melilla
COM-0010,Hermanos Morera S.Com.,Gaming,7,Alicante
COM-0011,Mercedes Diaz Tomas S.Com.,Alimentos,6,Almería
COM-0012,Restauración HKFE S.L.U.,Alimentos,3,León
COM-0013,Hermanos Sala S.Com.,Electronica,1,Pontevedra
COM-0014,Minería Fiol & Asociados S.A.,Electronica,5,Ceuta
COM-0015,Finanzas Rosales & Asociados S.L.N.E,Electronica,4,Granada
COM-0016,Carlos & Asociados S.L.N.E,Retail,9,Huesca
COM-0017,Hermanos Montenegro S.A.,Servicios,2,Valladolid
COM-0018,Familia Cadenas S.C.P,Gaming,8,Valencia
COM-0019,Distribuciones Cal S.L.N.E,Alimentos,2,Málaga
COM-0020,Logística KXV S.L.N.E,Viajes,3,Guipúzcoa
COM-0021,Suministros Puerta S.A.,Servicios,8,Girona
COM-0022,Minería Reguera S.L.,Electronica,2,Málaga
COM-0023,Farmaceútica Simó & Asociados S.L.,Retail,7,Burgos
COM-0024,Requena y Pellicer S.A.,Gaming,10,Granada
COM-0025,Minería Nebot S.A.,Alimentos,7,Ávila
COM-0026,Fernanda Camino Carmona S.L.L.,Servicios,4,Ourense
COM-0027,Vélez y asociados S.A.,Retail,3,Huesca
COM-0028,Hermanos Capdevila S.L.,Alimentos,10,León
COM-0029,Romeu & Asociados S.Coop.,Alimentos,10,Granada
COM-0030,Inmobiliaria Seguí & Asociados S.A.,Gaming,1,Guadalajara
COM-0031,Minería QQRR S.Coop.,Viajes,7,Cádiz
COM-0032,Compañía del Noroeste S.Coop.,Viajes,9,Asturias
COM-0033,Logística Avanzadas S.L.,Gaming,7,Girona
COM-0034,Cuesta y Quintanilla S.L.,Retail,10,Toledo
COM-0035,Eulalia Gonzalo Román S.Com.,Gaming,1,Lleida
COM-0036,Miralles y asociados S.C.P,Alimentos,3,Salamanca
COM-0037,Manufacturas Iglesias y asociados S.Com.,Servicios,2,Zaragoza
COM-0038,Compañía Globales S.L.U.,Retail,8,Asturias
COM-0039,Inmobiliaria Iberia S.Coop.,Alimentos,8,Toledo
COM-0040,Alimentación Ibérica S.L.,Gaming,3,Girona
COM-0041,Instalaciones Guitart & Asociados S.A.,Servicios,3,Lleida
COM-0042,Colomer y Campillo S.Coop.,Servicios,3,Almería
COM-0043,Manufacturas Arranz S.Coop.,Gaming,1,Melilla
COM-0044,Instalaciones Águila S.Com.,Viajes,3,Lugo
COM-0045,Áurea Merino Blanch S.A.,Gaming,6,Guadalajara
COM-0046,Grupo Cueto S.L.N.E,Alimentos,2,Murcia
COM-0047,Compañía XIX S.L.L.,Viajes,9,Castellón
COM-0048,Natanael Pallarès Crespo S.L.,Gaming,10,Valencia
COM-0049,Hotel Mas & Asociados S.A.,Servicios,8,Sevilla
